Node,1,2,3,4
1,0.4732,0.7016,0.7875,0.8563
2,0.3994,0.6631,0.7572,0.8338
3,0,0.6144,0.7577,0.8451
4,0,0.4335,0.5864,0.7012
5,0,0.213,0.3765,0.4991
6,0,0.1937,0.3228,0.4184
7,0,0.393,0.5042,0.6071
8,0,0.3832,0.5834,0.7021
9,0,0.3812,0.5369,0.6731
10,0,0.5244,0.6812,0.7951
11,0,0.6374,0.8032,0.8995
12,0.317,0.5647,0.661,0.7499
13,0,0.3134,0.4645,0.6019
14,0.417,0.6437,0.7463,0.8285
15,0,0.1162,0.2493,0.3387
16,0,0,0.1618,0.2413
17,0,0,0.1288,0.2029
18,0,0.4312,0.4841,0.5489
19,0,0.0838,0.2336,0.3484
20,0,0.2767,0.3853,0.4807
21,0,0.1832,0.3132,0.4124
22,0,0.1599,0.2985,0.403
23,0.7799,0.8393,0.8925,0.9323
24,0.4468,0.683,0.7815,0.8576
25,0.4459,0.7103,0.8037,0.8747
26,0.3062,0.5878,0.6973,0.7923
27,0,0.5074,0.5966,0.6911
28,0.4097,0.688,0.7761,0.8473
29,0.8689,0.909,0.9372,0.9589
30,0,0.212,0.3503,0.4471
31,0,0.2732,0.3804,0.4982
32,0,0.6633,0.7716,0.8497
33,0,0.5997,0.732,0.8233
34,0,0.4075,0.5733,0.6923
35,0.5272,0.6994,0.7911,0.8625
36,0.408,0.6362,0.7451,0.8309
37,0.4163,0.6887,0.7854,0.8602
38,1,1,1,1
39,0.9839,0.9925,0.9952,0.9974
40,0.5426,0.9799,0.9917,0.9957
41,0,0.7618,0.8576,0.9159
42,0,0.471,0.6415,0.7573
43,0,0.4343,0.5279,0.6181
44,0.4854,0.677,0.7604,0.8352
45,0.8371,0.8518,0.9084,0.9472
46,0.7731,0.8592,0.9054,0.9401
47,1,1,1,1
48,0,0.3623,0.468,0.558
49,0,0.1798,0.3141,0.4077
50,0,0.4864,0.559,0.6467
51,0,0.3433,0.5137,0.5891
52,1,1,1,1
53,1,1,1,1
54,1,1,1,1
55,0.9912,0.9957,0.9976,0.9987
56,0.7122,0.8724,0.9246,0.9586
57,0.4256,0.777,0.8011,0.8756
58,1,1,1,1
59,0.965,0.9864,0.9935,0.9972
60,1,1,1,1
61,1,1,1,1
62,0,0.5025,0.5884,0.69
63,0,0.5284,0.5901,0.6755
64,0.3317,0.5864,0.6877,0.7789
65,0.3375,0.5769,0.6771,0.7731
