,100s,200s,300s,400s
Node 1,0,0.000653947,0.006963668,0.020167957
Node 2,0,0.00058247,0.006282102,0.020591103
Node 3,0,5.51522E-06,0.002843427,0.012740869
Node 4,0,1.87494E-05,0.002795476,0.013296891
Node 5,0,0.000300236,0.004829952,0.016294338
Node 6,0,0.00029169,0.004709912,0.016445249
Node 7,0,2.7459E-06,0.003349978,0.011914499
Node 8,0,2.60252E-06,0.001704033,0.008818275
Node 9,0,9.62892E-06,0.001151663,0.006857167
Node 10,0,0.000329501,0.005543067,0.017987463
Node 11,0,0.000226877,0.004399563,0.01556323
Node 12,0,0.001224584,0.007382177,0.019784602
Node 13,0,0.00043781,0.004690687,0.013501439
Node 14,0,0.00041566,0.004212224,0.012658591
Node 15,0,2.41521E-06,0.000715768,0.00567633
Node 16,0,0,0.001202015,0.007226141
Node 17,0,0,0.002374853,0.009425688
Node 18,0,0.000170439,0.003692097,0.01295209
Node 19,0,0.000210213,0.003824423,0.013346459
Node 20,0,0.000266107,0.003119506,0.009881936
Node 21,0,0.000305501,0.003807445,0.011022086
Node 22,0,0.000953573,0.005957729,0.015696523
Node 23,0,0.00036436,0.004466742,0.016284992
Node 24,0.000246033,0.005642176,0.018086922,0.03866745
Node 25,1.05935E-05,0.001089081,0.006789916,0.01912853
Node 26,8.53712E-06,0.001131733,0.006252874,0.01725155
Node 27,0,0.001447982,0.007313834,0.020083246
Node 28,0,0.000245283,0.003308876,0.010049736
Node 29,6.02134E-06,0.001731458,0.006769946,0.015589577
Node 30,0,0.000113148,0.002934695,0.009276475
Node 31,1.06211E-06,0.001280321,0.005195377,0.012341643
Node 32,0,6.00179E-05,0.003225649,0.014364236
Node 33,0,2.45928E-05,0.002655779,0.012104662
Node 34,0,3.72811E-05,0.004357741,0.016713793
Node 35,4.50699E-05,0.002301467,0.009613536,0.020127666
Node 36,0.013292849,0.046755126,0.079212218,0.11422585
Node 37,3.40321E-05,0.002059659,0.007957266,0.019516779
Node 38,0,0.002788614,0.01036292,0.023199632
Node 39,0,0.002227255,0.009141219,0.021612546
Node 40,0,0.000977938,0.006705587,0.017244487
Node 41,0,0.001026462,0.006995631,0.018311938
Node 42,0,0.001545282,0.00788528,0.018807348
Node 43,0,0.001921101,0.007795153,0.018232671
Node 44,0,0.00064762,0.006605922,0.018085514
Node 45,0,0.001046677,0.005845649,0.015487546
Node 46,0,0.003411491,0.012075441,0.027170437
Node 47,3.11588E-06,0.003100193,0.010205172,0.022482006
Node 48,0,0.00071515,0.004579668,0.012708075
Node 49,0,0.00027407,0.005130644,0.014459542
Node 50,0,0.002359153,0.008096717,0.01803868
Node 51,0,0.002787379,0.009867439,0.021835663
Node 52,0.000616316,0.007411079,0.018504352,0.033164794
Node 53,0.0008356,0.007050392,0.016427033,0.029374972
Node 54,0.002018701,0.008773603,0.018914805,0.032397376
Node 55,0.001200213,0.006198029,0.014177744,0.025959554
Node 56,0.000612311,0.005411015,0.01312844,0.025200691
Node 57,0.000257596,0.005848267,0.01410605,0.026720695
Node 58,0,0.002751924,0.009768122,0.022132251
Node 59,1.90654E-06,0.002469874,0.009071742,0.019725416
Node 60,0.000235811,0.004706464,0.01274966,0.025816369
Node 61,0.000156101,0.002958089,0.009198729,0.018520588
Node 62,0,0.001813704,0.007306913,0.016666809
Node 63,0,0.002058758,0.007968793,0.018542547
Node 64,5.25744E-05,0.002176263,0.007627355,0.016220723
Node 65,5.3588E-05,0.00365289,0.010066871,0.020727098
